"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5150","test_TC_CON_03_email_only","test_cases","Sun Jun 01 02:08:02 EDT 2025","passed","Sun Jun 01 02:08:07 EDT 2025","TestContactForm","test_contact_form","",""
"","5221","test_TC_SUR_10_only_feedback_field_filled","test_cases","Sun Jun 01 02:09:06 EDT 2025","passed","Sun Jun 01 02:09:11 EDT 2025","TestContactForm","test_survey_form","",""
"","5177","test_TC_CON_04_message_only","test_cases","Sun Jun 01 02:08:07 EDT 2025","passed","Sun Jun 01 02:08:12 EDT 2025","TestContactForm","test_contact_form","",""
"","5208","test_TC_SUR_02_missing_required_fields","test_cases","Sun Jun 01 02:08:44 EDT 2025","passed","Sun Jun 01 02:08:49 EDT 2025","TestContactForm","test_survey_form","",""
"","2556","test_TC_SUR_04_max_character_input","test_cases","Sun Jun 01 02:08:54 EDT 2025","failed","Sun Jun 01 02:08:56 EDT 2025","TestContactForm","test_survey_form","",""
"","5195","test_TC_CON_06_name_and_message_only","test_cases","Sun Jun 01 02:08:17 EDT 2025","passed","Sun Jun 01 02:08:22 EDT 2025","TestContactForm","test_contact_form","",""
"","1177","test_TC_SUR_09_success_toast_or_redirect","test_cases","Sun Jun 01 02:09:05 EDT 2025","passed","Sun Jun 01 02:09:06 EDT 2025","TestContactForm","test_survey_form","",""
"","1203","test_TC_CON_08_valid_submission","test_cases","Sun Jun 01 02:08:28 EDT 2025","passed","Sun Jun 01 02:08:29 EDT 2025","TestContactForm","test_contact_form","",""
"","5176","test_TC_CON_07_email_and_message_only","test_cases","Sun Jun 01 02:08:22 EDT 2025","passed","Sun Jun 01 02:08:28 EDT 2025","TestContactForm","test_contact_form","",""
"","5098","test_TC_SUR_03_validation_messages","test_cases","Sun Jun 01 02:08:49 EDT 2025","passed","Sun Jun 01 02:08:54 EDT 2025","TestContactForm","test_survey_form","",""
"","1188","test_TC_SUR_05_special_characters_input","test_cases","Sun Jun 01 02:08:56 EDT 2025","failed","Sun Jun 01 02:08:58 EDT 2025","TestContactForm","test_survey_form","",""
"","5192","test_TC_CON_05_name_and_email_only","test_cases","Sun Jun 01 02:08:12 EDT 2025","passed","Sun Jun 01 02:08:17 EDT 2025","TestContactForm","test_contact_form","",""
"","1223","test_TC_CON_10_success_message_displayed","test_cases","Sun Jun 01 02:08:30 EDT 2025","passed","Sun Jun 01 02:08:31 EDT 2025","TestContactForm","test_contact_form","",""
"","5207","test_TC_CON_02_name_only","test_cases","Sun Jun 01 02:07:57 EDT 2025","passed","Sun Jun 01 02:08:02 EDT 2025","TestContactForm","test_contact_form","",""
"","2176","test_TC_SUR_06_trimmed_input","test_cases","Sun Jun 01 02:08:58 EDT 2025","passed","Sun Jun 01 02:09:00 EDT 2025","TestContactForm","test_survey_form","",""
"","1221","test_TC_CON_09_invalid_email_format","test_cases","Sun Jun 01 02:08:29 EDT 2025","passed","Sun Jun 01 02:08:30 EDT 2025","TestContactForm","test_contact_form","",""
"","5220","test_TC_SUR_07_invalid_email_format","test_cases","Sun Jun 01 02:09:00 EDT 2025","passed","Sun Jun 01 02:09:05 EDT 2025","TestContactForm","test_survey_form","",""
"","2546","test_TC_SUR_01_valid_submission","test_cases","Sun Jun 01 02:08:41 EDT 2025","passed","Sun Jun 01 02:08:44 EDT 2025","TestContactForm","test_survey_form","",""
"","5389","test_TC_CON_01_empty_fields","test_cases","Sun Jun 01 02:07:51 EDT 2025","passed","Sun Jun 01 02:07:57 EDT 2025","TestContactForm","test_contact_form","",""
